0	0	0	0	0	0
256	0	0	262	1	0
512	0	0	519	2	0
768	0	0	770	2	0
1024	0	0	1021	3	0
1280	0	0	1278	3	0
1536	0	0	1523	4	0
1792	0	0	1775	4	0
2048	0	0	2026	5	0
2303	0	0	2298	5	0
2559	0	0	2542	5	0
2815	0	0	2794	6	0
3071	0	0	3045	6	0
3327	0	0	3286	7	0
3583	0	0	3547	7	0
3839	0	0	3799	8	0
4095	0	0	4053	8	0
0	256	0	0	253	0
256	256	0	259	255	0
512	256	0	516	257	0
768	256	0	768	257	0
1024	256	0	1015	257	0
1280	256	0	1271	257	0
1536	256	0	1518	258	0
1792	256	0	1767	259	0
2048	256	0	2020	259	0
2303	256	0	2288	260	0
2559	256	0	2536	260	0
2815	256	0	2794	261	0
3071	256	0	3032	260	0
3327	256	0	3272	260	0
3583	256	0	3531	261	0
3839	256	0	3790	261	0
4095	256	0	4037	261	0
0	512	0	0	503	0
256	512	0	257	506	0
512	512	0	513	507	0
768	512	0	764	507	0
1024	512	0	1010	507	0
1280	512	0	1265	507	0
1536	512	0	1510	507	0
1792	512	0	1761	508	0
2048	512	0	2011	508	0
2303	512	0	2280	509	0
2559	512	0	2530	509	0
2815	512	0	2782	510	0
3071	512	0	3029	510	0
3327	512	0	3263	509	0
3583	512	0	3521	509	0
3839	512	0	3778	510	0
4095	512	0	4032	510	0
0	768	0	0	743	0
256	768	0	256	746	0
512	768	0	512	748	0
768	768	0	762	748	0
1024	768	0	1006	745	0
1280	768	0	1262	747	0
1536	768	0	1509	750	0
1792	768	0	1755	748	0
2048	768	0	2005	748	0
2303	768	0	2272	748	0
2559	768	0	2523	749	0
2815	768	0	2773	750	0
3071	768	0	3022	750	0
3327	768	0	3255	748	0
3583	768	0	3516	749	0
3839	768	0	3770	748	0
4095	768	0	4024	749	0
0	1024	0	0	982	0
256	1024	0	254	986	0
512	1024	0	509	988	0
768	1024	0	759	988	0
1024	1024	0	1007	988	0
1280	1024	0	1262	989	0
1536	1024	0	1508	992	0
1792	1024	0	1754	990	0
2048	1024	0	2002	989	0
2303	1024	0	2267	988	0
2559	1024	0	2522	991	0
2815	1024	0	2772	992	0
3071	1024	0	3015	989	0
3327	1024	0	3258	992	0
3583	1024	0	3514	991	0
3839	1024	0	3770	991	0
4095	1024	0	4018	989	0
