0	0	0	0	0	0
256	0	0	201	11	4
512	0	0	400	22	7
768	0	0	594	33	11
1024	0	0	787	44	16
1280	0	0	978	55	19
1536	0	0	1173	66	23
1792	0	0	1365	77	27
2048	0	0	1555	88	30
2303	0	0	1746	98	34
2559	0	0	1935	109	38
2815	0	0	2137	120	41
3071	0	0	2347	132	45
3327	0	0	2533	142	49
3583	0	0	2724	153	53
3839	0	0	2917	164	56
4095	0	0	3108	175	61
0	256	0	50	236	19
256	256	0	252	248	22
512	256	0	449	260	26
768	256	0	644	271	30
1024	256	0	837	283	33
1280	256	0	1028	292	37
1536	256	0	1226	304	41
1792	256	0	1416	315	44
2048	256	0	1606	325	49
2303	256	0	1798	336	53
2559	256	0	1982	345	56
2815	256	0	2193	357	60
3071	256	0	2398	367	64
3327	256	0	2585	378	67
3583	256	0	2779	388	71
3839	256	0	2971	399	75
4095	256	0	3161	409	79
0	512	0	102	470	36
256	512	0	302	483	41
512	512	0	500	494	44
768	512	0	695	507	48
1024	512	0	887	517	52
1280	512	0	1079	527	56
1536	512	0	1275	537	59
1792	512	0	1465	548	63
2048	512	0	1659	559	67
2303	512	0	1850	569	71
2559	512	0	2034	579	75
2815	512	0	2253	588	79
3071	512	0	2447	598	82
3327	512	0	2637	608	86
3583	512	0	2830	620	90
3839	512	0	3024	630	93
4095	512	0	3213	641	97
0	768	0	152	702	55
256	768	0	352	713	59
512	768	0	550	724	62
768	768	0	742	734	66
1024	768	0	935	745	70
1280	768	0	1129	756	74
1536	768	0	1326	768	78
1792	768	0	1515	778	82
2048	768	0	1709	788	85
2303	768	0	1898	798	89
2559	768	0	2094	809	93
2815	768	0	2311	818	96
3071	768	0	2497	828	100
3327	768	0	2688	837	105
3583	768	0	2881	848	108
3839	768	0	3076	860	112
4095	768	0	3267	870	116
0	1024	0	203	934	74
256	1024	0	403	944	77
512	1024	0	599	954	81
768	1024	0	794	966	85
1024	1024	0	988	977	88
1280	1024	0	1183	988	92
1536	1024	0	1377	998	97
1792	1024	0	1568	1010	100
2048	1024	0	1765	1021	104
2303	1024	0	1948	1028	108
2559	1024	0	2152	1037	111
2815	1024	0	2365	1049	115
3071	1024	0	2551	1057	119
3327	1024	0	2742	1067	122
3583	1024	0	2936	1078	127
3839	1024	0	3129	1090	131
4095	1024	0	3325	1101	134
0	1280	0	255	1163	92
256	1280	0	453	1173	96
512	1280	0	649	1184	100
768	1280	0	845	1196	103
1024	1280	0	1037	1206	107
1280	1280	0	1235	1217	112
1536	1280	0	1427	1227	115
1792	1280	0	1619	1237	119
2048	1280	0	1812	1247	123
2303	1280	0	1999	1256	126
2559	1280	0	2213	1268	130
2815	1280	0	2417	1277	134
3071	1280	0	2603	1286	137
3327	1280	0	2797	1297	141
3583	1280	0	2989	1308	146
3839	1280	0	3182	1318	149
4095	1280	0	3377	1330	153
0	1536	0	305	1394	111
